"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.798980713E0,-1.233673096E1,8.859252930E0,-1.634216309E1
1.818939209E0,-1.236267090E1,8.866882324E0,-1.848449707E1
1.838928223E0,-1.376953125E1,1.164093018E1,-1.709136963E1
1.858917236E0,-1.021118164E1,8.880615234E0,-1.920166016E1
1.878906250E0,-1.163482666E1,8.868408203E0,-1.777191162E1
1.898895264E0,-1.092224121E1,8.874511719E0,-1.848602295E1
1.919250488E0,-1.170349121E1,1.086578369E1,-1.897888184E1
1.939147949E0,-1.386413574E1,1.085510254E1,-1.897583008E1
1.958862305E0,-1.244659424E1,1.016998291E1,-2.039794922E1
1.978881836E0,-1.172943115E1,1.087341309E1,-2.112274170E1
1.998840332E0,-1.357727051E1,9.963989258E0,-1.924896240E1
2.018829346E0,-1.211090088E1,1.136016846E1,-1.784057617E1
2.038818359E0,-1.212921143E1,9.968566895E0,-1.853637695E1
2.058807373E0,-1.358184814E1,1.066284180E1,-1.997375488E1
2.078826904E0,-1.357421875E1,1.065979004E1,-1.925811768E1
2.099151611E0,-1.215057373E1,7.882690430E0,-1.922302246E1
2.118804932E0,-1.143341064E1,7.189941406E0,-1.921539307E1
2.138793945E0,-1.000213623E1,5.804443359E0,-1.919708252E1
2.158752442E0,-7.850646973E0,5.818176270E0,-1.991424561E1
2.178741455E0,-7.168579102E0,5.134582520E0,-2.276458740E1
2.198730469E0,-4.273986816E0,4.447937012E0,-2.132873535E1
2.218719483E0,-1.380920410E0,5.157470703E0,-2.062835693E1
2.238708496E0,2.101135254E0,7.287597656E0,-2.148437500E1
2.259094238E0,2.096557617E0,9.381103516E0,-2.294006348E1
2.278808594E0,4.998779297E0,8.692932129E0,-2.079162598E1
2.298675537E0,7.151794434E0,8.706665039E0,-2.150878906E1
2.318695068E0,8.596801758E0,8.013916016E0,-2.078704834E1
2.338653565E0,7.363891602E0,1.117553711E1,-2.011718750E1
2.358673096E0,8.790588379E0,1.048889160E1,-2.082366943E1
2.378631592E0,8.842468262E0,1.326446533E1,-1.800384521E1
2.398620606E0,9.558105469E0,1.257171631E1,-1.799621582E1
2.418945313E0,1.099853516E1,1.397552490E1,-1.873016357E1
2.438812256E0,1.102447510E1,1.396789551E1,-1.658782959E1
2.458618164E0,1.100311279E1,1.327667236E1,-1.800689697E1
2.478637695E0,1.033935547E1,1.674499512E1,-1.519470215E1
2.498565674E0,1.031341553E1,1.675262451E1,-1.733856201E1
2.518554688E0,1.104125977E1,1.814880371E1,-1.735839844E1
2.538543701E0,8.877563477E0,1.604614258E1,-1.661224365E1
2.558532715E0,7.101440430E0,1.343383789E1,-1.896972656E1
2.578887940E0,6.381225586E0,1.203460693E1,-1.823577881E1
2.598785400E0,4.940795898E0,1.342163086E1,-1.896667480E1
2.618499756E0,4.953002930E0,1.551055908E1,-1.899414062E1
2.638580322E0,4.241943359E0,1.690063477E1,-1.901245117E1
2.658477783E0,5.052185059E0,1.602020264E1,-2.095489502E1
2.678466797E0,1.243286133E1,1.419067383E1,-1.844329834E1
2.698455811E0,1.169891357E1,1.209716797E1,-1.841430664E1
2.718444824E0,1.242828369E1,1.349487305E1,-1.843414307E1
2.738433838E0,1.314849854E1,1.210327148E1,-1.770172119E1
2.758728027E0,1.314849854E1,1.349792480E1,-1.843566895E1
2.778411865E0,1.386413574E1,1.280517578E1,-1.842651367E1
2.798400879E0,1.097412109E1,1.279296875E1,-1.913757324E1
2.818420410E0,1.241912842E1,1.349639893E1,-1.914825439E1
2.838378906E0,1.385498047E1,1.280822754E1,-1.914062500E1
2.858367920E0,1.312255859E1,1.210937500E1,-1.984558105E1
2.878356934E0,1.600341797E1,1.573638916E1,-1.613464355E1
2.898345947E0,1.383056641E1,1.503143311E1,-1.683654785E1
2.918731690E0,1.526184082E1,1.504211426E1,-1.755218506E1
2.938446045E0,1.525421143E1,1.364898682E1,-1.753387451E1
2.958343506E0,1.668548584E1,1.365814209E1,-1.825103760E1
2.978332520E0,1.524505615E1,1.365051270E1,-1.824798584E1
2.998291016E0,1.565704346E1,1.273803711E1,-1.809997559E1
