sensor_type,device_type,timestamps,illuminance
light,smartphone,1529416833883193088,280.0
light,smartphone,1529416834086135040,440.0
light,smartphone,1529416834288955136,381.0
light,smartphone,1529416834492263168,208.0
light,smartphone,1529416834694747136,229.0
light,smartphone,1529416834897628160,162.0
light,smartphone,1529416835100570112,193.0
light,smartphone,1529416835303420160,162.0
light,smartphone,1529416835506362112,102.0
light,smartphone,1529416835709212160,80.0
light,smartphone,1529416835912489984,72.0
light,smartphone,1529416836115035136,90.0
light,smartphone,1529416836317915904,81.0
light,smartphone,1529416836520827136,55.0
light,smartphone,1529416836723739136,40.0
light,smartphone,1529416836926650112,44.0
light,smartphone,1529416837129499904,71.0
light,smartphone,1529416837332717056,110.0
light,smartphone,1529416837535354112,107.0
light,smartphone,1529416837738204160,67.0
light,smartphone,1529416837941067776,92.0
light,smartphone,1529416838143980032,147.0
light,smartphone,1529416838346951936,288.0
light,smartphone,1529416838549772032,296.0
light,smartphone,1529416838752926976,177.0
light,smartphone,1529416838955655936,231.0
light,smartphone,1529416839158505984,216.0
light,smartphone,1529416839361416960,412.0
light,smartphone,1529416839564328960,395.0
light,smartphone,1529416839767239936,221.0
light,smartphone,1529416839970089728,285.0
light,smartphone,1529416840173185024,231.0
light,smartphone,1529416840375912960,346.0
light,smartphone,1529416840578793984,304.0
light,smartphone,1529416840781675008,171.0
light,smartphone,1529416840984585984,151.0
light,smartphone,1529416841187467008,171.0
light,smartphone,1529416841390379008,364.0
light,smartphone,1529416841593350912,450.0
light,smartphone,1529416841796231936,243.0
light,smartphone,1529416841999479040,298.0
light,smartphone,1529416842202023936,285.0
light,smartphone,1529416842404934912,508.0
light,smartphone,1529416842607876864,520.0
light,smartphone,1529416842810758144,267.0
light,smartphone,1529416843013699840,299.0
light,smartphone,1529416843216519936,253.0
light,smartphone,1529416843419675136,305.0
light,smartphone,1529416843622311936,204.0
light,smartphone,1529416843825223936,112.0
light,smartphone,1529416844028134912,142.0
light,smartphone,1529416844231350784,180.0
light,smartphone,1529416844433957888,372.0
light,smartphone,1529416844636807936,428.0
light,smartphone,1529416844839902976,247.0
light,smartphone,1529416845042630912,250.0
light,smartphone,1529416845245511936,212.0
light,smartphone,1529416845448361984,326.0
light,smartphone,1529416845651243008,354.0
light,smartphone,1529416845854184960,221.0
light,smartphone,1529416846057004800,177.0
light,smartphone,1529416846260068864,142.0
light,smartphone,1529416846462827008,180.0
light,smartphone,1529416846665739008,172.0
light,smartphone,1529416846868619776,97.0
light,smartphone,1529416847071531008,61.0
light,smartphone,1529416847274411776,52.0
light,smartphone,1529416847477262080,65.0
light,smartphone,1529416847680325888,75.0
light,smartphone,1529416847883091968,62.0
light,smartphone,1529416848085973248,37.0
light,smartphone,1529416848289159168,49.0
light,smartphone,1529416848491734016,111.0
light,smartphone,1529416848694675968,192.0
light,smartphone,1529416848897496064,207.0
light,smartphone,1529416849100560128,121.0
light,smartphone,1529416849303349248,174.0
light,smartphone,1529416849506658048,345.0
light,smartphone,1529416849709142016,593.0
light,smartphone,1529416849912023040,602.0
light,smartphone,1529416850114934016,422.0
light,smartphone,1529416850317784064,405.0
light,smartphone,1529416850520726016,664.0
light,smartphone,1529416850723576832,857.0
light,smartphone,1529416850926853888,819.0
light,smartphone,1529416851129308160,633.0
light,smartphone,1529416851332218880,441.0
light,smartphone,1529416851535130112,467.0
