,acc_x,acc_y,acc_z,lin_acc_x,lin_acc_y,lin_acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,light_illuminance,loc_latitude,loc_height,loc_velocity,labelCycling,labelWalking,labelSitting,labelRunning,labelStanding,labelWalkingStairs,labelElevator,labelJumping,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,acc_x_temp_mean_ws_120,acc_y_temp_mean_ws_120,acc_z_temp_mean_ws_120,lin_acc_x_temp_mean_ws_120,lin_acc_y_temp_mean_ws_120,lin_acc_z_temp_mean_ws_120,mag_x_temp_mean_ws_120,mag_y_temp_mean_ws_120,mag_z_temp_mean_ws_120,gyr_x_temp_mean_ws_120,gyr_y_temp_mean_ws_120,gyr_z_temp_mean_ws_120,light_illuminance_temp_mean_ws_120,loc_latitude_temp_mean_ws_120,loc_height_temp_mean_ws_120,loc_velocity_temp_mean_ws_120,pca_1_temp_mean_ws_120,pca_2_temp_mean_ws_120,pca_3_temp_mean_ws_120,pca_4_temp_mean_ws_120,pca_5_temp_mean_ws_120,pca_6_temp_mean_ws_120,pca_7_temp_mean_ws_120,pca_8_temp_mean_ws_120,pca_9_temp_mean_ws_120,acc_x_temp_std_ws_120,acc_y_temp_std_ws_120,acc_z_temp_std_ws_120,lin_acc_x_temp_std_ws_120,lin_acc_y_temp_std_ws_120,lin_acc_z_temp_std_ws_120,mag_x_temp_std_ws_120,mag_y_temp_std_ws_120,mag_z_temp_std_ws_120,gyr_x_temp_std_ws_120,gyr_y_temp_std_ws_120,gyr_z_temp_std_ws_120,light_illuminance_temp_std_ws_120,loc_latitude_temp_std_ws_120,loc_height_temp_std_ws_120,loc_velocity_temp_std_ws_120,pca_1_temp_std_ws_120,pca_2_temp_std_ws_120,pca_3_temp_std_ws_120,pca_4_temp_std_ws_120,pca_5_temp_std_ws_120,pca_6_temp_std_ws_120,pca_7_temp_std_ws_120,pca_8_temp_std_ws_120,pca_9_temp_std_ws_120,acc_x_temp_MAD_ws_120,acc_y_temp_MAD_ws_120,acc_z_temp_MAD_ws_120,lin_acc_x_temp_MAD_ws_120,lin_acc_y_temp_MAD_ws_120,lin_acc_z_temp_MAD_ws_120,mag_x_temp_MAD_ws_120,mag_y_temp_MAD_ws_120,mag_z_temp_MAD_ws_120,gyr_x_temp_MAD_ws_120,gyr_y_temp_MAD_ws_120,gyr_z_temp_MAD_ws_120,light_illuminance_temp_MAD_ws_120,loc_latitude_temp_MAD_ws_120,loc_height_temp_MAD_ws_120,loc_velocity_temp_MAD_ws_120,pca_1_temp_MAD_ws_120,pca_2_temp_MAD_ws_120,pca_3_temp_MAD_ws_120,pca_4_temp_MAD_ws_120,pca_5_temp_MAD_ws_120,pca_6_temp_MAD_ws_120,pca_7_temp_MAD_ws_120,pca_8_temp_MAD_ws_120,pca_9_temp_MAD_ws_120,cluster
2018-06-19 14:00:27.500,-7.36486499003,3.21496384137,-5.64142013801,0.0773789911392,0.491909481418,1.32056484034,38.9571432866,-0.902303626126,22.4292746768,0.594642006645,-0.130871995361,0.43060347909,453.0,52.333630955,4.866945435,13.545666505,1,0,0,0,0,0,0,0,-0.185671816617,0.27581183191,-0.260322304836,0.0723253198441,0.0297589694442,0.0462322736258,-0.0418155059208,0.0538801562139,0.0854641911911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2018-06-19 14:00:30.250,-1.44820876526,4.33428245903,-6.47733190904,1.22136103566,-2.43401556912,0.892279082668,22.7076846205,-44.0455049524,13.6304111404,-0.286044743446,-0.592704840703,-0.538253270802,284.0,52.3336369275,4.8669949025,15.4723785425,1,0,0,0,0,0,0,0,-0.132912075522,0.654022707797,-0.0287864018322,-0.185364893865,0.104774617857,-0.13628848705,-0.00955507503683,0.000672516125557,-0.141183392709,-4.50254880129,3.74606041811,-3.85372627331,-0.424451515604,-0.338004372219,0.147383577555,25.4549911425,-16.4841425808,10.5023843466,0.00948361821533,0.100626495038,0.0749411224619,3373.42561983,52.3332485109,4.86684361568,9.16556020662,-0.0543319018332,0.393880779056,-0.0145484917124,0.0172820926332,-0.0152886127032,0.0225342911047,-0.0123470058165,-0.0510199945413,-0.00943148342062,2.76196793018,2.01394231103,6.01398674908,0.864784215624,0.795802298013,0.790586682112,17.1553561076,13.7341685247,23.8399342958,0.490765274622,0.630817644017,0.637401680503,6445.48153866,0.000254950357707,0.000154864861869,6.16093659196,0.328862886364,0.16938284302,0.313688786369,0.131350262079,0.0659527146465,0.0892624535506,0.0523508328002,0.0910834323945,0.0852888298816,403.909023461,1170.0653237,832.328750975,87.2875915058,78.7786854377,79.6253944773,1530.54267136,3045.77834301,2392.33397653,45.1411993259,59.694245319,61.11824879,375803.5,0.0290316055175,0.021374179751,700.817760723,34.3437476282,59.6969552433,22.9354150611,12.8917429419,6.50436501915,9.43635706022,5.70753584064,9.43827489623,8.65016021423,1
2018-06-19 14:00:33.000,-9.59709411303,3.42720824375,-6.51018628835,-2.29847653717,0.35432410412,-1.61074216702,39.9823237051,-22.8817705003,12.9214670126,0.358084486167,0.0748621791006,-0.136202615188,560.0,52.33363469,4.86703872,16.06141357,1,0,0,0,0,0,0,0,-0.211057041385,0.405572482395,-0.197684999795,0.0161641308151,0.120667687971,0.196509725002,0.090174603646,-0.203686695115,-0.0456251661006,-5.07534091549,4.03310111877,-5.34709474085,-0.42543041408,-0.399506681851,0.0716804186075,29.3726662043,-18.5864080629,15.3200468341,0.0130750983304,0.102161932827,0.0172792803021,1734.53719008,52.3333138436,4.8668918743,10.010673939,-0.134731086182,0.424089372735,-0.0898021723227,0.00759640138,-0.00143644320875,0.0274203793011,-0.00737561570365,-0.0648870663568,-0.0256987525387,2.40844380096,1.7064198305,4.18760123992,0.8926765905,0.821115703648,0.845222879432,11.5928202108,14.3937630808,18.2426336695,0.505539709299,0.657483198064,0.653239052447,4266.49173022,0.00025410227911,0.000112636460065,5.33155536246,0.222234157006,0.161144307875,0.212654545575,0.138908665226,0.0668240446321,0.0925522349493,0.0556062004476,0.0895261253412,0.0854882826853,345.85051069,1204.7972486,793.909379973,89.1146211859,82.9895367029,84.7857124167,1181.5698118,3300.15246078,2004.3188249,47.2278695735,63.56667203,62.824131265,177650.0,0.0278629244629,0.0218292405432,694.181072158,28.61277729,63.3521950266,14.5829848113,13.6880568152,6.85385321177,10.0552455776,5.81643346369,9.87974540198,9.13066357782,1
2018-06-19 14:00:35.750,-2.53010349886,3.60145711191,-5.1690828542,1.65684692291,-1.993047696,1.47932159427,27.097108313,-36.682141556,17.3091634558,-0.0926136079307,-0.502608607947,-0.516416253775,72.0,52.333625935,4.8670945325,16.195751955,1,0,0,0,0,0,0,0,-0.155231796635,0.570933772298,-0.0609858188741,-0.152596465536,0.122820384822,-0.13126141943,-0.0456643792812,0.0558939773859,-0.0797874168023,-5.3350368455,4.3566569893,-6.50600801838,-0.428530948884,-0.41504141011,0.0734301654498,32.0822065119,-21.935928527,19.8927900674,-0.0215915176045,0.0365876002721,-0.0088347591335,457.76446281,52.3333753181,4.86693210064,11.5100132963,-0.198784120918,0.466098143333,-0.146051515801,-0.00697918011947,0.0117244198922,0.0247680067883,-0.00277484029805,-0.0655256864528,-0.0416420793641,2.34674576896,0.947007183517,0.849891401064,0.990363028571,0.891338861835,0.917689314589,5.61720456418,12.2953866793,7.58400443172,0.40749574031,0.59251678522,0.664670071346,203.434429182,0.00024055468942,8.57336528674e-05,4.51555467984,0.030850044231,0.0966621872006,0.0787968830529,0.134488799145,0.0712451947776,0.0971923963243,0.0543023349138,0.0917714350779,0.0763144608678,328.013715762,1243.94750919,771.109958863,99.7341169152,89.8315602863,90.8131824919,993.502036809,3638.01238488,1651.70102441,41.3835149339,60.2115454489,65.9917836447,24618.5,0.0269841604004,0.0243704639025,718.801040563,24.8538372094,67.9895174522,8.6737668155,13.6998045767,7.79385624982,10.3886582797,5.71437658054,10.2681575699,9.10522867678,1
2018-06-19 14:00:38.500,-10.4442433791,2.41226205778,-7.54114495081,-1.24642623221,0.039416710219,0.0383015333708,37.2618754942,-22.3840839093,6.78506687459,-0.281443409287,1.25783505413,1.12216046409,296.0,52.3336261,4.86716105,16.64915161,1,0,0,0,0,0,0,0,-0.219308761664,0.360906909603,-0.193081562133,0.274745568758,0.17237230003,0.0617259008138,0.0635450044445,-0.179995869773,-0.120732444547,-5.43271334064,4.27488798565,-6.48559961718,-0.460429131936,-0.431716121181,0.0612404078046,32.3136051105,-21.6900043205,19.3438952846,-0.0166304270779,0.0448324788436,-0.0136714301645,441.987603306,52.3334310306,4.86696710138,12.8619799399,-0.198026554708,0.460407041465,-0.148648160332,-0.00713482963476,0.024137839594,0.0242066257586,0.0073743366922,-0.0662872665076,-0.0382927816963,2.45098163723,0.983351364735,0.863863202428,1.07541324027,0.933790718615,0.988059325165,5.6376603612,12.1819917373,8.04208427973,0.407973589277,0.609831786055,0.705541756839,221.894864959,0.000219808499426,7.99108053622e-05,3.30873113685,0.0318321539722,0.0964476889067,0.0784511092115,0.142672462209,0.0806687078608,0.100931514402,0.0536774402027,0.095028505577,0.0738844103105,334.457396238,1234.05345954,768.640541767,106.514682239,94.1547147812,96.2685656398,1017.04592948,3608.25556038,1587.61295676,41.8893315056,61.1363148074,69.2529357371,25704.5,0.0267233772949,0.0284296627417,757.943079223,24.7621717328,67.3008941132,8.93221722983,14.207414813,9.21112322617,10.6382452889,5.3770861151,10.6195966184,8.69996366216,1
2018-06-19 14:00:41.250,-5.57707808048,3.14060666699,-6.38312469708,-1.523451069,0.409467101792,-1.22599434386,35.5791732887,-25.412331961,12.5333959508,0.439828487335,-1.03714850143,-1.14498220425,364.0,52.3336374625,4.867239165,19.16166382,1,0,0,0,0,0,0,0,-0.208621416647,0.445825016477,-0.112291560662,-0.247986139085,0.115420010778,0.145492260101,0.0867579193725,-0.103965246299,-0.0108892015456,-5.44015828507,4.13872697296,-6.51029572158,-0.447878762436,-0.447863913593,0.0752797979395,32.7453364654,-21.2538745961,19.1593313113,-0.00931771855418,0.0329876421252,-0.0230993775933,437.037190083,52.3334817687,4.86700142702,14.0641087049,-0.199322744436,0.45428166071,-0.152937634592,-0.0110989859625,0.03451833692,0.0213467166989,0.0142042633149,-0.0649194252187,-0.0323852311963,2.49707140137,1.04240252768,0.884656840433,1.12728986067,0.953202179742,1.04665797791,5.4580280971,11.9583823009,8.16095177325,0.413535548449,0.634322680103,0.718511393873,224.968832705,0.000194101902873,9.20292099051e-05,2.4514316575,0.0321491208975,0.0950936313287,0.0760487160333,0.147457964947,0.0855401874887,0.104733737322,0.0537674520532,0.0978050791675,0.0702383734868,339.207486504,1217.57797779,771.628769612,112.70113738,97.9750384156,103.350029066,1051.5216722,3555.4838662,1565.28071761,42.6804279214,63.9864845406,71.1423867156,25771.5,0.0272064601563,0.0325833912268,856.299181221,24.9190106863,66.559723081,8.92464000181,14.7790862272,10.467163396,11.0932705901,5.36886088575,10.8369493806,7.98515005558,1
2018-06-19 14:00:44.000,-2.15365579111,3.3333461824,-5.14880497429,1.84612839596,-1.90926563101,2.41362576483,27.0580107705,-32.8678333466,18.032544593,-0.264468449488,-0.519156258931,-0.468277938753,161.0,52.33365918,4.8673378,14.92310791,1,0,0,0,0,0,0,0,-0.185756244513,0.533277846351,-0.0436716373169,-0.146617894054,0.144138883382,-0.16994099896,-0.0504093982916,0.137304277686,-0.0591683704781,-5.61543775802,3.95659130996,-6.47124302607,-0.479466360481,-0.444982738057,0.147481018015,33.2286219754,-20.7465082813,19.1455789926,-0.00123814477453,0.0316016616995,0.00188704612669,429.752066116,52.3335287393,4.86703714525,14.8754805633,-0.201615868785,0.44484172275,-0.158478154428,-0.00743024675762,0.0464275472818,0.0196233205042,0.0193136600745,-0.0585148936013,-0.0279851783534,2.71627380887,0.994229901438,0.924457519304,1.22697911156,0.996672529137,1.12901287056,5.26395811164,11.6899175296,8.17231633644,0.421018520265,0.685173179999,0.769256018835,230.307811454,0.000163367010413,0.000117757779286,2.21496058229,0.033182331025,0.0934077654504,0.0729644107149,0.160397178395,0.0915667618925,0.11213400429,0.0575331041023,0.102391924631,0.0670775686386,340.320588816,1195.53956165,766.903393483,127.360976449,103.375499603,113.219953177,1102.03803572,3494.0925412,1563.6166861,43.6372452008,71.1200206063,78.5606676895,25521.0,0.028498258838,0.0369049663916,954.475167511,25.196478712,65.4174906034,8.94991625458,16.6219834587,11.9081778498,12.0294984943,5.78283437241,10.9339197925,7.4527436661,1
2018-06-19 14:00:46.750,-9.83245738357,3.54620247935,-6.92359297986,-1.06579083623,0.147092111449,-0.0640782655,34.2399558798,-21.7951524252,14.5389109584,-0.594199778178,1.12297420592,1.07993406488,97.0,52.3336605675,4.8674465725,12.0156372075,1,0,0,0,0,0,0,0,-0.274800000822,0.381184054053,-0.16098860822,0.249514212909,0.142596595166,0.028475325687,0.114133233003,-0.132379546567,-0.0969318153294,-5.75532266691,3.82239361355,-6.45912086674,-0.501111827402,-0.409704997321,0.150808824223,32.7825682518,-21.2125254686,19.297180524,0.0111383194833,0.0117516232648,0.00837581131526,407.669421488,52.3335718496,4.8670793769,14.9914076369,-0.204589414164,0.443745400369,-0.156873244028,-0.0085053408392,0.0541518204903,0.0157707757145,0.0315921685774,-0.0539228947837,-0.0308956651574,2.82006509828,0.905889340021,0.970153749625,1.30891073637,1.04094755553,1.18066807552,5.13632881833,11.6920753286,7.78553126327,0.447173385863,0.716708725701,0.797929532132,234.789147905,0.000126591817577,0.000152179139107,2.11440737277,0.0354966979161,0.0932953086563,0.0753869451845,0.167173434043,0.0935632747378,0.115779064369,0.0573774452046,0.104228641269,0.0681430838771,341.475259671,1179.30164017,765.436611866,136.102560974,106.764382259,118.120097855,1048.06552824,3550.48061798,1580.53347194,47.4612949111,74.2605793467,81.9125991478,24059.0,0.0306369203126,0.042015230216,968.502343414,25.5562777246,65.2848356086,9.25842604771,17.5138110727,12.6274403327,12.1856118935,5.86417255189,10.8692292817,7.76980584854,1
2018-06-19 14:00:49.500,-6.19836439503,3.77539903399,-4.94663061618,-1.25906728564,-0.00498212760351,-1.40841721555,39.3590119204,-28.310549863,7.49357260473,0.148464816854,-0.85644087802,-1.42089502008,469.0,52.333636275,4.86755439,11.52467041,1,0,0,0,0,0,0,0,-0.23838371502,0.43790970762,-0.0442031657879,-0.253126606206,0.208802473026,0.170607992896,0.0840151663004,-0.12777867939,-0.0103266652804,-5.88581071159,3.73916410367,-6.35157800162,-0.467612088677,-0.440601491283,0.151227829027,33.0629854283,-22.8433518701,17.9833219661,0.00266154626054,0.00515012203199,0.00744957104464,370.962809917,52.333606295,4.8671283163,14.9265842655,-0.205994939008,0.447983734515,-0.147910463619,-0.00933747129023,0.0780937229629,0.0152277133315,0.0362299943825,-0.056424814894,-0.037688452286,2.8664764556,0.801121759004,1.02017770388,1.36637034077,1.08261128792,1.24810753881,5.28505075748,10.9906011422,7.60727319149,0.448685328426,0.737020929641,0.826493192544,241.51644324,8.24695362987e-05,0.00018941242877,2.19621256379,0.0372792507475,0.0895611154983,0.0787958938738,0.173673880865,0.0891566642551,0.121445477333,0.0585391721554,0.106880387108,0.0646784563894,338.607283195,1169.23086919,752.42392466,143.896603446,113.787120394,126.182061525,1081.99600538,3747.81061457,1421.5565871,47.5667225577,77.6438556214,86.3962218105,22942.5,0.0334088215333,0.0479380245581,960.658715484,25.7263461972,65.797674017,9.09553568159,18.4333550832,14.1693515407,12.9403272164,6.1353656155,11.4101604627,7.89104508776,1
2018-06-19 14:00:52.250,-7.09110640505,3.08693112925,-5.22888176639,0.2228155518,-0.288536580199,0.335757656085,26.3614250693,-27.263203211,26.8839782992,-0.263345928026,0.641737466184,1.23737556204,367.0,52.3336024425,4.86771808,12.47907715,1,0,0,0,0,0,0,0,-0.300544822212,0.441952102483,-0.0769024106978,0.186581715989,0.0912392113672,-0.116853218963,0.131293804079,-0.0292045353622,-0.0474324184314,-6.04607333519,3.66220233411,-6.27717324999,-0.48189953089,-0.425549747799,0.194807011663,33.0980096142,-24.5715328316,17.2537365919,0.0114028106854,0.0144966012375,0.033669424216,366.830578512,52.3336291893,4.86719021657,14.8669641415,-0.211833299092,0.453907780621,-0.13786278207,-0.00440565772641,0.0985285487866,0.0126281910183,0.0427033904324,-0.054326463434,-0.0442982929322,2.94190149156,0.772317844808,1.08842562834,1.41743182959,1.08663521928,1.29114531295,5.51817698378,9.84056093599,7.65123060397,0.450446283497,0.751962955732,0.844053277124,232.185948772,3.12014621204e-05,0.000232297762695,2.24962829585,0.0439238259081,0.0849486538744,0.0802103656962,0.177719926963,0.0895036635108,0.123349026704,0.0592417163382,0.110972854053,0.0592152390165,340.957875615,1159.91849532,743.420949673,149.119179321,113.31182665,130.977450014,1086.23393568,3956.92051648,1336.62952495,47.788862922,79.6734605199,87.6988962008,22442.5,0.0361061287111,0.0554272289648,953.44468045,26.4327877784,66.5144836623,8.7146964343,18.8060430117,16.4507450149,13.097445452,6.49987303268,11.8563010459,7.81868314628,1
2018-06-19 14:00:55.000,-5.90634536095,4.12581924263,-5.26328288291,-0.414219062621,-1.04663173822,-1.74455128467,17.9213969334,-32.6512413891,32.0384590212,0.90255690448,-0.771523202351,-1.18805101914,276.0,52.33353455,4.86786883,12.3458374,1,0,0,0,0,0,0,0,-0.327109866985,0.523117560125,0.00832173686318,-0.224388675371,-0.00279057088802,-0.0105496856224,0.242023520926,-0.0545365411898,-0.0176532874483,-6.16603784791,3.67596534029,-6.10316151263,-0.482051709631,-0.438961568156,0.228065073716,31.517879064,-26.7138600731,16.7919010288,0.0331034387199,-0.0140416086596,0.0410816393964,339.566115702,52.3336303092,4.8672685095,14.7535787281,-0.217238131733,0.463468493416,-0.115515658069,-0.0041982032059,0.10999660319,0.00509643862201,0.0566638729443,-0.0446805161626,-0.0547095135654,2.9438848403,0.806702867868,1.02785020895,1.45948399706,1.12004943957,1.32103289437,7.19751583288,8.7812264338,6.85938049369,0.437857667814,0.749597396295,0.873985216702,212.117459031,2.4584476672e-05,0.000275854338396,2.3459217704,0.050195352358,0.0837713578324,0.0816818216056,0.180773389118,0.0754105905603,0.128715546511,0.0700714250606,0.117189460059,0.0527940806043,337.609906083,1161.58381905,722.365529513,154.028508703,119.01294241,135.170555533,1058.42913404,4216.14211188,1280.74742389,46.5488552735,79.3107367862,91.1496893256,19659.5,0.0362434578126,0.0649000759497,939.72504544,27.0867725039,67.6713297981,8.36375222019,19.314549833,16.8892084726,13.4410563213,7.88498422758,12.1167448009,8.29628969983,1
