,acc_x,acc_y,acc_z,lin_acc_x,lin_acc_y,lin_acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,light_illuminance,loc_latitude,loc_height,loc_velocity,labelCycling,labelWalking,labelSitting,labelRunning,labelStanding,labelWalkingStairs,labelElevator,labelJumping
2018-06-19 14:00:00.000,1.08047201119,3.09603178739,9.52448317558,-0.729941347049,-0.284527834732,-0.23285566591,-9.81116661723,-30.8236929085,-31.0672466569,-1.01507119576,0.261718750021,0.481339248952,13653.0,52.33287889,4.8664128,47.02087402,1,0,0,0,0,0,0,0
2018-06-19 14:00:00.250,0.329620211688,0.829286463146,8.76705917625,-0.745643864695,-0.117833905369,0.327247526153,5.96301739092,-23.3872633715,-33.16392165,-0.486490885418,-0.0782888075972,-0.264481638009,14709.0,,,,1,0,0,0,0,0,0,0
2018-06-19 14:00:00.500,-0.250131134945,0.143936308281,10.5366280427,-1.77097141894,-0.498254290991,0.497334667299,3.8042704265,-20.6707000717,-37.12908427,0.263610537689,0.0714161183581,0.634444737193,15968.0,,,,1,0,0,0,0,0,0,0
2018-06-19 14:00:00.750,-2.03272875622,-0.720395406092,9.95662419908,1.52974157446,-0.704757732548,0.371917107557,-13.5496873119,-18.3235755346,-39.0029907238,0.0607305788673,0.228475982064,2.022055682,17715.0,,,,1,0,0,0,0,0,0,0
2018-06-19 14:00:01.000,1.93781303178,-1.0260231849,10.0983119245,1.24590913948,-0.912650678166,-1.03316740035,-12.7405802408,-13.4043375648,-41.2926991775,0.538713209672,0.25633949809,0.52793899385,17469.0,52.33291899,4.86646627,0.6461303711,1,0,0,0,0,0,0,0
2018-06-19 14:00:01.250,0.978402829649,1.28736563287,10.1987448299,-0.849641832622,-1.00266301399,0.651113154808,-13.2159893331,-12.5510582562,-38.8031005862,0.258087158198,-0.514232710291,0.301821690002,20536.0,,,,1,0,0,0,0,0,0,0
2018-06-19 14:00:01.500,-1.2436772715,1.60736219955,7.63419183381,0.992639043705,1.01948386547,0.302656977824,-16.3710276275,-11.272303264,-38.4610493992,-0.620547908355,0.545732554824,0.317534040691,21131.0,,,,1,0,0,0,0,0,0,0
2018-06-19 14:00:01.750,0.564158420955,1.48684647502,10.5404462625,-0.826043973071,-1.52859641286,-0.454932138067,-12.5085683988,-9.00937593823,-41.0834679238,0.527034834343,-0.581866245639,0.0382940255023,21213.0,,,,1,0,0,0,0,0,0,0
2018-06-19 14:00:02.000,0.553771823067,-0.540185217755,8.98209081912,-0.885142130029,-0.154391421945,-0.0373136483422,-22.2396850575,-7.80588785775,-36.7215474458,-0.572213415999,-0.65520163144,0.16405786253,20799.0,52.33292554,4.86650806,-0.2964355469,1,0,0,0,0,0,0,0
2018-06-19 14:00:02.250,1.87848006139,1.49106529916,10.240351459,-0.804663996694,1.27289161804,0.853343257906,-24.08987192,-3.91798753008,-35.8904325038,-0.258168286617,0.151067148342,0.350524600189,19841.0,,,,1,0,0,0,0,0,0,0
2018-06-19 14:00:02.500,1.86228538965,0.142620610279,10.1471633904,-0.436026624623,0.271542646121,1.48728714739,-22.8548685717,-0.720596313525,-37.1339162192,0.0184963450733,0.246147754145,0.372765484976,17949.0,,,,1,0,0,0,0,0,0,0
2018-06-19 14:00:02.750,0.291266261932,-0.366502667421,10.9917164412,-1.94918109385,0.156373788597,0.698226779102,-23.2830341031,2.39950326771,-37.76174692,0.579857099171,-0.404388729888,0.718863912144,16110.0,,,,1,0,0,0,0,0,0,0
2018-06-19 14:00:03.000,0.555414536438,0.419960321201,9.40163855408,-0.875921011012,-1.19488820259,-0.725777252069,-24.3929545075,-0.396347045908,-36.2824757917,0.585687674749,0.242377038083,0.913575415501,15250.0,52.3329395,4.86656366,0.6804931641,1,0,0,0,0,0,0,0
2018-06-19 14:00:03.250,1.37626617729,0.360042307637,8.47916782485,0.484007148117,-0.529110093084,0.01360771176,-17.9933988123,2.10395226114,-40.1948195231,0.386813173221,1.31819726925,0.409536380579,17424.0,,,,1,0,0,0,0,0,0,0
2018-06-19 14:00:03.500,-0.411842794989,2.20021416157,9.64273834237,0.27242754482,-0.513507945849,-1.0491261763,-7.86997477208,1.19094848635,-44.3041483575,-0.417301701556,0.257217706378,-0.530066396656,19308.0,,,,1,0,0,0,0,0,0,0
2018-06-19 14:00:03.750,-2.69312989479,0.765148536843,9.35862582328,-0.233595534828,-0.469378769449,1.47507469326,-6.64954552262,3.98160494292,-45.7566481369,0.400164286273,0.232131808403,-0.252397873824,19146.0,,,,1,0,0,0,0,0,0,0
