,acc_x,acc_y,acc_z,lin_acc_x,lin_acc_y,lin_acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,light_illuminance,loc_latitude,loc_height,loc_velocity,labelCycling,labelWalking,labelSitting,labelRunning,labelStanding,labelWalkingStairs
2018-06-19 14:00:00.000,1.0804720111862745,3.0960317873921577,9.5244831755784318,-0.729941347049,-0.284527834732,-0.23285566591,-9.81116661723,-30.8236929085,-31.0672466569,-1.01507119576,0.261718750021,0.481339248952,13653.0,52.33287889,4.8664128,47.02087402,1,0,0,0,0,0
2018-06-19 14:00:00.250,0.32962021168824196,0.8292864631458039,8.7670591762549019,-0.745643864695,-0.117833905369,0.327247526153,5.96301739092,-23.3872633715,-33.16392165,-0.486490885418,-0.0782888075972,-0.264481638009,14709.0,,,,1,0,0,0,0,0
2018-06-19 14:00:00.500,-0.25013113494465344,0.14393630828108905,10.53662804270297,-1.77097141894,-0.498254290991,0.497334667299,3.8042704265,-20.6707000717,-37.12908427,0.263610537689,0.0714161183581,0.634444737193,15968.0,,,,1,0,0,0,0,0
2018-06-19 14:00:00.750,-2.0327287562248038,-0.7203954060918335,9.9566241990784317,1.52974157446,-0.704757732548,0.371917107557,-13.5496873119,-18.3235755346,-39.0029907238,0.0607305788673,0.228475982064,2.022055682,17715.0,,,,1,0,0,0,0,0
2018-06-19 14:00:01.000,1.9378130317751485,-1.0260231849018813,10.098311924534654,1.24590913948,-0.912650678166,-1.03316740035,-12.7405802408,-13.4043375648,-41.2926991775,0.538713209672,0.25633949809,0.52793899385,17469.0,52.33291899,4.86646627,0.6461303711,1,0,0,0,0,0
2018-06-19 14:00:01.250,0.9784028296490197,1.2873656328745096,10.19874482990196,-0.849641832622,-1.00266301399,0.651113154808,-13.2159893331,-12.5510582562,-38.8031005862,0.258087158198,-0.514232710291,0.301821690002,20536.0,,,,1,0,0,0,0,0
2018-06-19 14:00:01.500,-1.2436772715002971,1.6073621995539109,7.6341918338118822,0.992639043705,1.01948386547,0.302656977824,-16.3710276275,-11.272303264,-38.4610493992,-0.620547908355,0.545732554824,0.317534040691,21131.0,,,,1,0,0,0,0,0
2018-06-19 14:00:01.750,0.56415842095529412,1.486846475018726,10.540446262460785,-0.826043973071,-1.52859641286,-0.454932138067,-12.5085683988,-9.00937593823,-41.0834679238,0.527034834343,-0.581866245639,0.0382940255023,21213.0,,,,1,0,0,0,0,0
2018-06-19 14:00:02.000,0.55377182306696071,-0.54018521775549022,8.9820908191176478,-0.885142130029,-0.154391421945,-0.0373136483422,-22.2396850575,-7.80588785775,-36.7215474458,-0.572213415999,-0.65520163144,0.16405786253,20799.0,52.33292554,4.86650806,-0.2964355469,1,0,0,0,0,0
2018-06-19 14:00:02.250,1.8784800613871286,1.4910652991643565,10.240351459029702,-0.804663996694,1.27289161804,0.853343257906,-24.08987192,-3.91798753008,-35.8904325038,-0.258168286617,0.151067148342,0.350524600189,19841.0,,,,1,0,0,0,0,0
