,acc_x,acc_y,acc_z,lin_acc_x,lin_acc_y,lin_acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,light_illuminance,loc_latitude,loc_height,loc_velocity,labelCycling,labelWalking,labelSitting,labelRunning,labelStanding,labelWalkingStairs,labelElevator,labelJumping,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9
2018-06-19 14:00:00.000,1.08431346263,3.09273718725,9.52779773362,-0.728013085346,-0.283059235086,-0.23285566591,-9.81209290791,-30.8185133198,-31.0728504722,-1.01590251505,0.260902079148,0.480742278813,13653.0,52.33287889,4.8664128,47.02087402,1,0,0,0,0,0,0,0,0.60852258109,0.407444496604,0.611832784059,0.0531934963147,0.00815993983526,-0.0625152666804,0.0195648658173,-0.017852696034,0.0197852375532
2018-06-19 14:00:00.250,0.814492401353,0.945349891203,9.02611835433,-1.04476436238,-0.261628583979,0.327247526153,7.26704881634,-23.3180939376,-33.7059885506,-0.346814188864,-0.0785950166631,-0.408461687929,14709.0,52.332888915,4.8664261675,35.4271881078,1,0,0,0,0,0,0,0,0.578614484526,0.315123089747,0.550275500939,-0.0671425363179,0.0928211471256,0.0373396853269,-0.101332361613,-0.0152978814524,0.0949278145309
2018-06-19 14:00:00.500,-1.03146806931,-0.0132403187212,10.1723445648,-1.32685514833,-0.34057426105,0.497334667299,1.72083055099,-20.7844218779,-36.2575520006,0.062729901594,0.0459165506619,0.880199697654,15968.0,52.33289894,4.866439535,23.8335021956,1,0,0,0,0,0,0,0,0.629446327199,0.245562081112,0.595467717516,0.118472553295,0.0869493419526,0.0107711768443,-0.0744956218206,0.00266140755014,0.0799827177629
2018-06-19 14:00:00.750,-1.25193103609,-0.638846420938,10.1875500393,1.17167767052,-0.694408848492,0.371917107557,-11.5248943569,-18.1971166641,-39.852276951,0.208126490183,0.321461083882,1.74541337503,17715.0,52.332908965,4.8664529025,12.2398162833,1,0,0,0,0,0,0,0,0.702013796561,0.209734015503,0.688861051413,0.241824226859,0.0174954973244,-0.114518670005,-0.0275191182982,-0.026534108659,0.0508323347796
2018-06-19 14:00:01.000,1.42655941283,-0.913629704665,10.2053275458,1.31653230551,-1.21979953363,-1.03316740035,-13.8885219697,-13.5434719291,-40.8082392358,0.538316412368,0.0609512421258,0.761101887132,17469.0,52.33291899,4.86646627,0.6461303711,1,0,0,0,0,0,0,0,0.717573713031,0.183433903377,0.730637147423,0.0644396904086,-0.051598589321,-0.109073769221,0.01156654918,-0.111827136183,0.0711998342385
2018-06-19 14:00:01.250,1.08865928683,0.910120769696,9.67686419089,-0.551391886241,-0.404170196456,0.651113154808,-13.4217853609,-12.3668999713,-38.7283217368,0.083535022247,-0.21123125337,0.164879312562,20536.0,52.3329206275,4.8664767175,0.4104888916,1,0,0,0,0,0,0,0,0.737950099722,0.235859950623,0.75375996714,0.0184386334342,-0.0612942366698,-0.029240717433,-0.0132587790583,0.0589276621335,0.0845612947722
2018-06-19 14:00:01.500,-0.994061579881,2.23570605819,8.4934056434,0.393540283543,0.281072625514,0.302656977824,-14.8551836902,-11.5202021564,-39.0643183882,-0.316031109099,0.174309219167,0.34358534759,21131.0,52.332922265,4.866487165,0.1748474121,1,0,0,0,0,0,0,0,0.718247988087,0.251266108238,0.741183236205,0.100055915081,-0.0807039186558,-0.00753347674055,0.0220605075307,0.0081212704245,0.0635333259816
2018-06-19 14:00:01.750,0.119634460805,0.714916000877,9.52887438118,-0.102508502211,-0.884073037025,-0.454932138067,-14.8014937283,-8.76009473475,-40.1880986352,0.179261244953,-0.223183903216,0.0977267452155,21213.0,52.3329239025,4.8664976125,-0.0607940674,1,0,0,0,0,0,0,0,0.746989906795,0.198105713916,0.764961322114,0.0102752767554,-0.0884780309246,-0.00633777648739,0.0310921340435,-0.0282121445084,0.103824846965
2018-06-19 14:00:02.000,1.00173174508,0.201401471078,9.9418923686,-1.53406782037,-0.493961408305,-0.0373136483422,-19.9688346753,-7.87765423888,-37.5772502111,-0.260269819119,-0.901368263263,0.0719430775822,20799.0,52.33292554,4.86650806,-0.2964355469,1,0,0,0,0,0,0,0,0.758169424899,0.182703956269,0.782881737452,-0.0681594414199,-0.122607244898,-0.00343561683377,0.0563095432287,0.0797456428779,0.0804225473468
2018-06-19 14:00:02.250,1.55625505979,0.962450142017,9.47705025101,-0.367097682358,1.21199950177,0.853343257906,-25.5936778612,-4.27519187166,-35.3471266951,-0.500305790858,0.205660015723,0.417205823193,19841.0,52.33292903,4.86652196,-0.05220336915,1,0,0,0,0,0,0,0,0.750319928949,0.178502397004,0.769856573624,0.0805117746489,-0.176903201189,-0.0962573112657,0.0747081812045,0.109757011316,0.0476032917819
2018-06-19 14:00:02.500,2.02667139303,0.334043173944,10.65813154,-0.631674414067,0.676747806258,1.48728714739,-22.5195609971,0.261628771144,-37.2797081361,0.205992406417,0.400465728491,0.372194704398,17949.0,52.33293252,4.86653586,0.1920288086,1,0,0,0,0,0,0,0,0.747530458041,0.111351618258,0.741780886115,0.10188643112,-0.140002873892,-0.112584172905,0.029164887748,0.149717604629,0.0741248240796
2018-06-19 14:00:02.750,0.248177499903,-0.202843183699,10.725735667,-1.93207855917,-0.418575066866,0.698226779102,-22.5409658312,0.810238614554,-37.8714940304,0.412567508568,-0.699807887345,0.644757538555,16110.0,52.33293601,4.86654976,0.43626098635,1,0,0,0,0,0,0,0,0.715594109033,0.0631512857394,0.710287475795,0.0365445751265,-0.119818419261,-0.0401963879104,0.0595683031624,0.159281650665,0.0657156418127
2018-06-19 14:00:03.000,0.520047919212,-0.00454678307509,9.4398375027,-0.818172898239,-0.663295805499,-0.725777252069,-25.6684033438,1.46876335419,-36.2106909842,0.743463579414,0.535686620486,1.03759440236,15250.0,52.3329395,4.86656366,0.6804931641,1,0,0,0,0,0,0,0,0.685403105614,0.0728420276072,0.688776120486,0.172366149681,-0.18598418071,-0.114713170773,0.1355183706,-0.0277754854423,0.0483056198087
2018-06-19 14:00:03.250,1.49038980002,0.880175862029,8.68069472683,0.434063375341,-0.849810306857,0.01360771176,-16.9796821288,0.569579502755,-39.9463228646,0.278533992656,1.19993047809,0.281575938907,17424.0,52.332943195,4.8665762175,0.457455444375,1,0,0,0,0,0,0,0,0.691152389842,0.122967146008,0.698101812362,0.148583825835,-0.130165584985,-0.11630808093,0.0502037281791,-0.0591956855011,0.0746535122091
2018-06-19 14:00:03.500,-0.650460960545,1.75040676502,9.1648204061,0.289183375164,-0.475414081728,-1.0491261763,-7.85376177616,1.70213287306,-44.9682990467,-0.440266403686,0.0648892111724,-0.445377153939,19308.0,52.33294689,4.866588775,0.23441772465,1,0,0,0,0,0,0,0,0.697658463829,0.110805927839,0.70996072097,-0.0203156940885,-0.0614395170602,0.0648285608313,0.0302575171216,-0.0946597539223,0.126675378582
