"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.779052734E0,-1.173095703E1,-6.066894531E0,-4.089355469E1
1.798980713E0,-1.099395752E1,-4.673767090E0,-4.019775391E1
1.818969726E0,-1.102752686E1,-6.059265137E0,-4.232330322E1
1.838958740E0,-1.101074219E1,-4.669189453E0,-4.162750244E1
1.858947754E0,-1.031188965E1,-6.752014160E0,-4.231414795E1
1.879272461E0,-1.031646729E1,-8.843994141E0,-4.157104492E1
1.899108887E0,-8.880615234E0,-9.532165527E0,-4.156341553E1
1.918914795E0,-1.276245117E1,-1.363830566E1,-4.234771729E1
1.938934326E0,-1.490173340E1,-1.435394287E1,-4.019317627E1
1.958923340E0,-1.491088867E1,-1.295623779E1,-4.163970947E1
1.978881836E0,-1.490631104E1,-1.365509033E1,-4.091644287E1
1.998901367E0,-1.983032227E1,-8.467102051E0,-3.690795898E1
2.018859863E0,-1.911010742E1,-8.462524414E0,-3.690948486E1
2.039245605E0,-1.983489990E1,-9.162902832E0,-3.689880371E1
2.059082031E0,-2.058105469E1,-1.195068359E1,-3.757476807E1
2.078826904E0,-2.056427002E1,-9.164428711E0,-3.761291504E1
2.098846435E0,-2.126159668E1,-8.476257324E0,-3.619232178E1
2.118835449E0,-2.198638916E1,-7.781982422E0,-3.691406250E1
2.138977051E0,-2.414398193E1,-8.491516113E0,-3.618774414E1
2.158782959E0,-2.343139648E1,-8.485412598E0,-3.690338135E1
2.178771973E0,-2.269439697E1,-7.090759277E0,-3.620910645E1
2.198760986E0,-2.555847168E1,-5.715942383E0,-3.551025391E1
2.219116211E0,-2.485961914E1,-6.404113770E0,-3.692932129E1
2.238739014E0,-2.285003662E1,-2.484130859E0,-3.681640625E1
2.258819580E0,-2.428588867E1,-1.794433594E0,-3.682403564E1
2.278717041E0,-2.354431152E1,-1.098632812E0,-3.540649414E1
2.298767090E0,-2.501068115E1,-2.494812012E0,-3.681335449E1
2.318695068E0,-2.281494141E1,-1.097106934E0,-3.469238281E1
2.338684082E0,-2.450256348E1,-7.882690430E0,-3.551330566E1
2.358673096E0,-2.376098633E1,-5.790710449E0,-3.482818604E1
2.379089355E0,-2.378692627E1,-5.784606934E0,-3.697204590E1
2.398742676E0,-2.377319336E1,-5.090332031E0,-3.626708984E1
2.418670654E0,-2.377777100E1,-5.786132812E0,-3.625640869E1
2.438629150E0,-2.449493408E1,-3.698730469E0,-3.699798584E1
2.458618164E0,-2.302703857E1,-3.698730469E0,-3.485717773E1
2.478607178E0,-2.590789795E1,-3.712463379E0,-3.485412598E1
2.498596191E0,-2.448120117E1,-3.004455566E0,-3.629302979E1
2.518585205E0,-2.304534912E1,-3.694152832E0,-3.628540039E1
2.538909912E0,-2.447204590E1,-1.611328125E0,-3.631286621E1
2.558746338E0,-2.342224121E1,-4.791259766E0,-3.583068848E1
2.578582764E0,-2.270202637E1,-3.392028809E0,-3.656463623E1
2.598571777E0,-2.270660400E1,-1.296997070E0,-3.802185059E1
2.618530273E0,-2.269287109E1,-1.998901367E0,-3.658447266E1
2.638519287E0,-2.196502686E1,-6.027221680E-1,-3.660430908E1
2.658508301E0,-2.253570557E1,2.507019043E0,-3.875122070E1
2.678497314E0,-2.284545898E1,8.560180664E-1,-3.622436523E1
2.698852539E0,-2.358398438E1,8.575439453E-1,-3.765258789E1
2.718750000E0,-2.212677002E1,2.255249023E0,-3.695831299E1
2.738464355E0,-2.216033936E1,2.264404297E0,-3.981628418E1
2.758483887E0,-2.213439941E1,2.258300781E0,-3.767242432E1
2.778442383E0,-2.069854736E1,1.568603516E0,-3.766479492E1
2.798431396E0,-2.287292480E1,2.258300781E0,-3.910064697E1
2.818420410E0,-2.068939209E1,2.961730957E0,-3.768310547E1
2.838409424E0,-2.286376953E1,8.605957031E-1,-3.765258789E1
2.858428955E0,-2.214355469E1,8.651733398E-1,-3.765411377E1
2.878753662E0,-2.489929199E1,3.662109375E0,-3.833312988E1
2.898406982E0,-2.418823242E1,2.273559570E0,-3.831481934E1
2.918426514E0,-2.344665527E1,4.364013672E0,-3.762969971E1
2.938385010E0,-2.418823242E1,3.668212891E0,-3.904876709E1
2.958343506E0,-2.415771484E1,2.961730957E0,-3.618164062E1
2.978332519E0,-2.489166260E1,3.659057617E0,-3.761901855E1
2.998321533E0,-2.550506592E1,-1.678466797E-1,-3.634796143E1
3.018310547E0,-2.619476318E1,5.172729492E-1,-3.421325684E1
3.038726806E0,-2.550506592E1,-1.678466797E-1,-3.634796143E1
3.058410644E0,-2.621612549E1,-1.739501953E-1,-3.563232422E1
3.078369140E0,-2.693634033E1,-1.785278320E-1,-3.563079834E1
3.098297119E0,-2.693634033E1,-1.785278320E-1,-3.563079834E1
3.118255615E0,-2.550964355E1,-2.259826660E0,-3.560485840E1
3.138244629E0,-2.550964355E1,-2.259826660E0,-3.560485840E1
3.158264160E0,-2.550964355E1,-2.259826660E0,-3.560485840E1
3.178222656E0,-2.550964355E1,-2.259826660E0,-3.560485840E1
3.198547363E0,-2.058410645E1,1.947021484E0,-3.827209473E1
3.218414306E0,-2.058410645E1,1.947021484E0,-3.827209473E1
3.238250732E0,-1.772003174E1,5.706787109E-1,-3.897094727E1
3.258178711E0,-1.913909912E1,1.255798340E0,-3.754882812E1
3.278167724E0,-1.913452148E1,5.569458008E-1,-3.682556152E1
3.298156738E0,-1.914367676E1,1.954650879E0,-3.827362061E1
3.318145752E0,-1.984710693E1,1.945495605E0,-3.684387207E1
3.338134765E0,-2.161560059E1,3.071594238E0,-3.923034668E1
3.358489990E0,-2.017517090E1,3.079223633E0,-3.923187256E1
3.378356933E0,-1.947174072E1,3.086853027E0,-4.066162109E1
3.398101806E0,-1.874847412E1,2.392578125E0,-3.993988037E1
3.418121338E0,-1.733703613E1,1.710510254E0,-4.207458496E1
3.438110351E0,-1.661682129E1,3.109741211E0,-4.280853271E1
3.458068848E0,-1.660461426E1,1.013183594E0,-4.063720703E1
3.478057861E0,-1.374969482E1,2.429199219E0,-4.351806641E1
3.498046875E0,-1.233062744E1,1.745605469E0,-4.493865967E1
