sensor_type,device_type,timestamps,illuminance
light,smartphone,1529417909874219008,16.0
light,smartphone,1529417910077130240,20.0
light,smartphone,1529417910280011008,58.0
light,smartphone,1529417910482861056,51.0
light,smartphone,1529417910685741824,66.0
light,smartphone,1529417910888898048,21.0
light,smartphone,1529417911091504128,2.0
light,smartphone,1529417911294384896,40.0
light,smartphone,1529417911497266176,46.0
light,smartphone,1529417911700145920,34.0
light,smartphone,1529417911903058176,3.0
light,smartphone,1529417912105907968,1.0
light,smartphone,1529417912309125120,2.0
light,smartphone,1529417912511639040,3.0
light,smartphone,1529417912917432064,5.0
light,smartphone,1529417913323224064,3.0
light,smartphone,1529417913526043904,1.0
light,smartphone,1529417914134716928,2.0
light,smartphone,1529417914540476928,3.0
light,smartphone,1529417914743449088,5.0
light,smartphone,1529417914946268928,1.0
light,smartphone,1529417915149576960,21.0
light,smartphone,1529417915352123136,24.0
light,smartphone,1529417915555002880,17.0
light,smartphone,1529417915757945088,20.0
light,smartphone,1529417915960796160,17.0
light,smartphone,1529417916163738112,2.0
light,smartphone,1529417916366588160,10.0
light,smartphone,1529417916569804032,7.0
light,smartphone,1529417916772380160,10.0
light,smartphone,1529417916975291904,20.0
light,smartphone,1529417917178172160,7.0
light,smartphone,1529417917381052928,23.0
light,smartphone,1529417917583995136,16.0
light,smartphone,1529417917786814976,55.0
light,smartphone,1529417917990031872,34.0
light,smartphone,1529417918395580160,75.0
light,smartphone,1529417918598398976,87.0
light,smartphone,1529417918801280000,51.0
light,smartphone,1529417919004192256,15.0
light,smartphone,1529417919207042048,24.0
light,smartphone,1529417919410289152,38.0
light,smartphone,1529417919612834048,17.0
light,smartphone,1529417919815715072,1.0
light,smartphone,1529417920627300096,2.0
light,smartphone,1529417920830516224,1.0
light,smartphone,1529417921033092096,2.0
light,smartphone,1529417921235941888,10.0
light,smartphone,1529417921641733888,6.0
light,smartphone,1529417921844645888,0.0
light,smartphone,1529417922250743040,2.0
light,smartphone,1529417922453349120,5.0
light,smartphone,1529417922656168960,16.0
light,smartphone,1529417922859080960,12.0
light,smartphone,1529417923061960960,6.0
light,smartphone,1529417923264872960,1.0
light,smartphone,1529417923467723008,3.0
light,smartphone,1529417923670969856,16.0
light,smartphone,1529417923873545984,7.0
light,smartphone,1529417924076396032,30.0
light,smartphone,1529417924279308032,23.0
light,smartphone,1529417924482189056,40.0
light,smartphone,1529417924685073920,53.0
light,smartphone,1529417924887954944,49.0
light,smartphone,1529417925091262976,69.0
light,smartphone,1529417925293777152,48.0
light,smartphone,1529417925496627968,44.0
light,smartphone,1529417925699507968,71.0
light,smartphone,1529417925902389248,81.0
light,smartphone,1529417926105300736,53.0
light,smartphone,1529417926308151040,30.0
light,smartphone,1529417926511520000,26.0
light,smartphone,1529417926713943040,42.0
light,smartphone,1529417926916824320,12.0
light,smartphone,1529417927119766016,10.0
light,smartphone,1529417927322616320,11.0
light,smartphone,1529417927525558016,21.0
light,smartphone,1529417927728439296,26.0
light,smartphone,1529417927931686144,5.0
light,smartphone,1529417928134262272,2.0
light,smartphone,1529417928337143040,1.0
light,smartphone,1529417928540054272,2.0
light,smartphone,1529417928742964992,3.0
light,smartphone,1529417928945907200,2.0
light,smartphone,1529417929554611200,3.0
light,smartphone,1529417929757492224,2.0
light,smartphone,1529417929960434176,3.0
light,smartphone,1529417930163345152,11.0
light,smartphone,1529417930366256896,24.0
light,smartphone,1529417930569289984,21.0
light,smartphone,1529417930772171008,1.0
light,smartphone,1529417930974960128,2.0
light,smartphone,1529417931178268160,14.0
light,smartphone,1529417931380813056,15.0
light,smartphone,1529417931583725056,2.0
light,smartphone,1529417931786606080,7.0
light,smartphone,1529417931989517056,5.0
light,smartphone,1529417932192459008,2.0
light,smartphone,1529417932598495232,32.0
light,smartphone,1529417932801162752,49.0
light,smartphone,1529417933004074240,34.0
light,smartphone,1529417933206985216,46.0
light,smartphone,1529417933409866240,66.0
light,smartphone,1529417933612777728,71.0
light,smartphone,1529417933815628032,56.0
light,smartphone,1529417934018722048,43.0
light,smartphone,1529417934221420288,44.0
light,smartphone,1529417934424331008,57.0
light,smartphone,1529417934627245824,43.0
light,smartphone,1529417934830157056,23.0
light,smartphone,1529417935033098752,16.0
light,smartphone,1529417935235918848,3.0
light,smartphone,1529417935438951936,1.0
light,smartphone,1529417935641741824,2.0
light,smartphone,1529417935844592128,1.0
light,smartphone,1529417936047472896,7.0
light,smartphone,1529417936250384128,11.0
light,smartphone,1529417936453295872,10.0
light,smartphone,1529417936656145920,2.0
light,smartphone,1529417936859179008,1.0
light,smartphone,1529417937264818944,3.0
light,smartphone,1529417937467730944,6.0
light,smartphone,1529417937670610944,5.0
light,smartphone,1529417937873522944,1.0
light,smartphone,1529417938076403968,0.0
light,smartphone,1529417938482195968,1.0
light,smartphone,1529417938685504000,2.0
light,smartphone,1529417938887987968,12.0
light,smartphone,1529417939090898944,7.0
light,smartphone,1529417939293840896,29.0
light,smartphone,1529417939496630784,47.0
light,smartphone,1529417939699633920,11.0
light,smartphone,1529417939902422784,19.0
light,smartphone,1529417940105304064,25.0
light,smartphone,1529417940308185088,10.0
light,smartphone,1529417940511096064,5.0
light,smartphone,1529417940714006784,7.0
light,smartphone,1529417940916826880,6.0
light,smartphone,1529417941119860736,5.0
light,smartphone,1529417941322618880,1.0
