_id,statusId,sensorName,accuracy,value,timestamp
1270,4,"AK09911 Magnetometer",3,"[-0.13122559,-19.741821,-14.950562]",1528171722055
1290,4,"AK09911 Magnetometer",3,"[-2.3147583,-19.049072,-17.098999]",1528171722075
1308,4,"AK09911 Magnetometer",3,"[-2.319336,-18.35022,-17.823792]",1528171722095
1326,4,"AK09911 Magnetometer",3,"[-2.3620605,-19.732666,-20.661926]",1528171722115
1344,4,"AK09911 Magnetometer",3,"[-3.112793,-20.42694,-22.795105]",1528171722134
1362,4,"AK09911 Magnetometer",3,"[-0.9689331,-20.410156,-24.22638]",1528171722155
1380,4,"AK09911 Magnetometer",3,"[-2.4658203,-22.496033,-27.767944]",1528171722175
1398,4,"AK09911 Magnetometer",3,"[-2.4841309,-22.48993,-29.197693]",1528171722195
1416,4,"AK09911 Magnetometer",3,"[-1.7883301,-23.875427,-30.607605]",1528171722214
1436,4,"AK09911 Magnetometer",3,"[-1.0559082,-24.572754,-29.170227]",1528171722235
1454,4,"AK09911 Magnetometer",3,"[-1.1032104,-25.256348,-32.733154]",1528171722255
1472,4,"AK09911 Magnetometer",3,"[32.714844,-7.6187134,-32.621765]",1528171722274
1490,4,"AK09911 Magnetometer",3,"[32.676697,-8.306885,-35.469055]",1528171722295
1508,4,"AK09911 Magnetometer",3,"[31.253052,-6.9229126,-34.77173]",1528171722314
1526,4,"AK09911 Magnetometer",3,"[26.28479,18.063354,-14.682007]",1528171722335
1544,4,"AK09911 Magnetometer",3,"[25.595093,20.144653,-13.279724]",1528171722355
1562,4,"AK09911 Magnetometer",3,"[28.497314,19.456482,-11.131287]",1528171722374
1582,4,"AK09911 Magnetometer",3,"[31.417847,20.158386,-8.287048]",1528171722395
1600,4,"AK09911 Magnetometer",3,"[30.718994,19.450378,-6.1325073]",1528171722414
1618,4,"AK09911 Magnetometer",3,"[33.63037,20.155334,-4.0023804]",1528171722435
1636,4,"AK09911 Magnetometer",3,"[32.97119,22.924805,-0.46844482]",1528171722455
1654,4,"AK09911 Magnetometer",3,"[35.16693,22.92633,2.3864746]",1528171722474
1672,4,"AK09911 Magnetometer",3,"[35.188293,23.617554,3.8070679]",1528171722495
1690,4,"AK09911 Magnetometer",3,"[33.05664,27.085876,4.4769287]",1528171722514
1708,4,"AK09911 Magnetometer",3,"[33.044434,26.393127,3.7719727]",1528171722535
1728,4,"AK09911 Magnetometer",3,"[34.501648,27.790833,4.4662476]",1528171722554
1746,4,"AK09911 Magnetometer",3,"[33.78601,28.483582,4.4570923]",1528171722575
