sensor_type,device_type,label,label_start,label_start_datetime,label_end,label_end_datetime
interval_label,smartphone,Sitting,1528301400000000000.000,06/06/2018 16:10:00,1528301698472395008.000,06/06/2018 16:14:58
interval_label,smartphone,Walking,1528301698472395008.000,06/06/2018 16:14:58,1528301997154921216.000,06/06/2018 16:19:57
interval_label,smartphone,Running,1528301997154921216.000,06/06/2018 16:19:57,1528302292405024256.000,06/06/2018 16:24:52
interval_label,smartphone,Cycling,1528302292405024256.000,06/06/2018 16:24:52,1528302587655127040.000,06/06/2018 16:29:47
