"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.895172119E0,-1.682515144E0,8.451256752E-1,-2.218972921E0
1.900085450E0,-1.378314018E0,6.974060535E-1,-2.356449127E0
1.905029297E0,-6.242895126E-1,1.971855164E-1,-2.776003838E0
1.909912110E0,-5.585336685E-1,2.429161072E-1,-2.634284496E0
1.914855957E0,1.822566986E-1,-7.145547867E-2,-2.862164736E0
1.919769287E0,1.105536461E0,-2.986502647E-1,-3.159809113E0
1.924713135E0,2.010862350E0,-3.503425121E-1,-3.446840763E0
1.929626465E0,2.762639999E0,-1.792795658E-1,-3.350286722E0
1.934539795E0,3.400833130E0,-1.939845085E-2,-2.942653418E0
1.939453125E0,3.792967796E0,1.578037739E-1,-2.275979042E0
1.944366455E0,4.086645126E0,2.921516895E-1,-1.309623957E0
1.949310303E0,4.270562172E0,3.969776630E-1,-4.890496731E-1
1.954226217E0,4.193287849E0,4.906024933E-1,6.344711781E-2
1.959170065E0,3.961709023E0,4.680709839E-1,5.157787800E-1
1.964083395E0,3.471107483E0,4.374995232E-1,8.291494846E-1
1.968996725E0,2.765636444E0,4.743862152E-1,1.059030890E0
