"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.741149910E-1,3.282546401E-1,1.910495758E-1,8.992261887E-1
3.790283210E-1,3.413012624E-1,2.262778282E-1,8.906331062E-1
3.839416510E-1,3.201731443E-1,1.703019142E-1,8.721833229E-1
3.888854980E-1,2.638234794E-1,1.585330963E-1,8.682460785E-1
3.937988280E-1,2.324328125E-1,1.188364029E-1,8.342070580E-1
3.987121590E-1,2.360040247E-1,8.517837524E-2,8.077402115E-1
4.036560060E-1,2.311100960E-1,1.043715477E-1,8.219537735E-1
4.085693360E-1,2.204674184E-1,1.065983772E-1,7.963638306E-1
4.134826660E-1,1.691031158E-1,6.255197525E-2,7.490315437E-1
4.183959960E-1,1.609572470E-1,8.488941193E-2,7.303733826E-1
4.233398440E-1,1.835799515E-1,8.282804489E-2,7.289199829E-1
4.282531740E-1,2.138265669E-1,1.604323387E-1,7.118606567E-1
4.331665040E-1,2.754291594E-1,1.841101646E-1,7.101378441E-1
4.381103520E-1,3.184736371E-1,2.365508080E-1,6.164293289E-1
4.430236820E-1,3.143080473E-1,2.717819214E-1,5.941104889E-1
4.479370120E-1,2.477169931E-1,1.756095886E-1,4.455099106E-1
4.528503420E-1,2.719638944E-1,8.979463577E-2,3.217658997E-1
4.577941900E-1,3.560941219E-1,4.803180695E-3,1.627197266E-1
4.627075200E-1,4.104778767E-1,-5.332088470E-2,2.158260345E-2
4.676208500E-1,4.381162822E-1,-5.071973801E-2,-1.890516281E-2
4.725646980E-1,4.871849418E-1,-6.270408630E-4,-1.094255447E-1
4.774780280E-1,4.581119418E-1,5.462932587E-2,-7.992553711E-2
4.823913580E-1,4.260479808E-1,9.396123886E-2,-1.269764900E-1
4.873046880E-1,4.111795723E-1,4.115152359E-2,-1.129198074E-1
4.922485360E-1,3.797259331E-1,3.580284119E-2,2.821540833E-2
4.971618660E-1,3.209780455E-1,-2.510690689E-2,1.154990196E-1
5.020751960E-1,2.820777893E-1,-5.168294907E-2,1.987986565E-1
5.070190430E-1,2.053446174E-1,-6.525516510E-3,3.289456367E-1
5.119323730E-1,1.937776804E-3,1.505999565E-1,8.095903397E-1
5.168457030E-1,-7.032929361E-2,3.402376175E-2,9.086680412E-1
5.217590340E-1,-3.015292585E-1,5.477476120E-2,8.199863434E-1
5.267028810E-1,-3.561809659E-1,7.076883316E-2,7.370867729E-1
5.316162110E-1,-2.860243618E-1,2.036371231E-1,7.259907722E-1
5.365600590E-1,-2.396413684E-1,1.921257973E-1,5.973954201E-1
5.414733890E-1,-1.449595988E-1,-1.002445221E-1,4.695806503E-1
5.463867190E-1,-1.011741832E-1,1.781940460E-3,3.687090874E-1
5.513000490E-1,3.112277016E-2,2.435989380E-1,2.719397545E-1
5.562133790E-1,9.238456935E-2,4.717836380E-1,1.218805313E-1
5.611572270E-1,-3.691883758E-4,6.285910606E-1,-4.595756531E-2
5.660705570E-1,-3.540187776E-1,5.534019470E-1,-1.712937355E-1
5.710144050E-1,-3.355184197E-1,5.403118134E-1,-1.623497009E-1
5.759582520E-1,-4.317179918E-1,4.338159561E-1,-1.911587715E-1
5.808715820E-1,-4.510477483E-1,3.089575768E-1,-2.568764687E-1
5.857849120E-1,-3.967770338E-1,2.594189644E-1,-1.710538864E-1
5.906982430E-1,-3.849999309E-1,2.281017303E-1,-7.734584808E-2
5.956420900E-1,-3.681876659E-1,2.463130951E-1,1.644825935E-1
6.005554200E-1,-3.728619814E-1,2.948350906E-1,3.298106194E-1
6.054687500E-1,-3.682885468E-1,3.037056923E-1,5.388746262E-1
6.103820800E-1,-3.255285025E-1,2.834458351E-1,7.170023918E-1
6.153259280E-1,-3.889229298E-1,2.888321877E-1,8.793444633E-1
6.202392580E-1,-3.765549958E-1,2.316260338E-1,9.041457176E-1
6.251525880E-1,-3.863492608E-1,1.994252205E-1,8.329596519E-1
6.300964360E-1,-4.204329848E-1,1.754961014E-1,7.900085449E-1
6.350097660E-1,-4.132900834E-1,2.148113251E-1,6.690635681E-1
6.399230960E-1,-4.172491431E-1,2.934288979E-1,5.345025063E-1
6.448364260E-1,-4.418685436E-1,2.962532043E-1,3.805742264E-1
6.497802740E-1,-4.615645707E-1,3.454241753E-1,2.063736916E-1
6.546936040E-1,-4.643946886E-1,3.266811371E-1,3.094911575E-2
6.596069340E-1,-4.617125988E-1,3.137359619E-1,-1.048207283E-1
6.645507820E-1,-4.501715302E-1,1.837124825E-1,-1.485095024E-1
6.694641120E-1,-5.174370408E-1,2.393054962E-2,-9.032773972E-2
6.743774420E-1,-6.015649438E-1,-2.939882278E-1,5.972814560E-2
6.792907720E-1,-6.088271737E-1,-5.064783096E-1,2.360987663E-1
6.842346190E-1,-3.213178217E-1,-5.980658531E-1,3.202943802E-1
6.891479500E-1,-2.606539056E-3,-5.413789749E-1,3.350267410E-1
6.940612800E-1,2.696017325E-1,-3.223338127E-1,5.177183151E-1
6.990051270E-1,5.004681349E-1,-1.143679619E-1,8.297514915E-1
