"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.772155760E-1,-5.410766602E-2,-1.102294922E-1,6.655883789E-2
1.796875000E-1,-6.689453125E-2,-1.091613770E-1,6.762695312E-2
1.821289060E-1,-8.500671387E-2,-1.059722900E-1,7.295227051E-2
1.846008300E-1,-9.672546387E-2,-1.059722900E-1,7.827758789E-2
1.870422370E-1,-1.127014160E-1,-1.049041748E-1,8.041381836E-2
1.895141600E-1,-1.297454834E-1,-1.038360596E-1,8.467102051E-2
1.919860840E-1,-1.393432617E-1,-1.059722900E-1,8.680725098E-2
1.944274900E-1,-1.510467529E-1,-1.038360596E-1,9.532165527E-2
1.968994140E-1,-1.606445312E-1,-9.851074219E-2,1.006469727E-1
1.993713380E-1,-1.712951660E-1,-9.851074219E-2,1.049041748E-1
2.018127440E-1,-1.819458008E-1,-9.318542480E-2,1.091766357E-1
2.042846680E-1,-1.872711182E-1,-9.211730957E-2,1.145019531E-1
2.067565920E-1,-1.968536377E-1,-8.465576172E-2,1.208953857E-1
2.091979980E-1,-1.958007812E-1,-7.933044434E-2,1.240844727E-1
2.116699220E-1,-1.925964355E-1,-7.827758789E-2,1.251525879E-1
2.141418460E-1,-1.947326660E-1,-7.507324219E-2,1.272888184E-1
2.165832520E-1,-1.947326660E-1,-7.293701172E-2,1.336669922E-1
2.190246580E-1,-1.925964355E-1,-7.293701172E-2,1.368713379E-1
2.214965820E-1,-1.851348877E-1,-6.974792480E-2,1.411285400E-1
2.239685060E-1,-1.819458008E-1,-7.293701172E-2,1.432647705E-1
2.264404300E-1,-1.702270508E-1,-7.507324219E-2,1.443328857E-1
2.288818360E-1,-1.638336182E-1,-7.720947266E-2,1.464538574E-1
2.313537600E-1,-1.510467529E-1,-8.253479004E-2,1.485900879E-1
2.338256840E-1,-1.393432617E-1,-8.465576172E-2,1.507110596E-1
2.362976080E-1,-1.286773682E-1,-8.892822266E-2,1.475219727E-1
2.387695310E-1,-1.127014160E-1,-9.532165527E-2,1.453857422E-1
2.412109380E-1,-9.458923340E-2,-9.425354004E-2,1.464538574E-1
2.436523440E-1,-7.754516602E-2,-9.637451172E-2,1.432647705E-1
2.461242680E-1,-6.582641602E-2,-1.016998291E-1,1.432647705E-1
2.485656740E-1,-5.091857910E-2,-1.027679443E-1,1.421966553E-1
2.510375980E-1,-3.601074219E-2,-1.070404053E-1,1.400604248E-1
2.535095220E-1,-2.429199219E-2,-1.123657227E-1,1.379394531E-1
2.559509280E-1,-1.469421387E-2,-1.155548096E-1,1.336669922E-1
2.584228520E-1,-8.544921875E-4,-1.198120117E-1,1.347351074E-1
2.608947760E-1,6.607055664E-3,-1.187438965E-1,1.315460205E-1
2.633361820E-1,1.193237305E-2,-1.198120117E-1,1.272888184E-1
2.658081060E-1,2.151489258E-2,-1.262054443E-1,1.230163574E-1
2.682800300E-1,2.790832520E-2,-1.283416748E-1,1.187591553E-1
2.707214360E-1,3.430175781E-2,-1.294097900E-1,1.145019531E-1
