"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.969259240E-1,-8.940124512E-2,5.944961548E0,7.722610474E0
1.993978480E-1,-1.013641357E-1,5.906646729E0,7.794433594E0
2.018392540E-1,-6.665039062E-2,5.915023804E0,7.843521118E0
2.043111780E-1,-1.637268066E-2,5.893478394E0,7.897384644E0
2.067831020E-1,-3.912353516E-2,5.917419434E0,7.940490723E0
2.092550250E-1,-5.708312988E-2,5.911437988E0,7.965621948E0
2.116964320E-1,-6.785583496E-2,5.913833618E0,7.993164062E0
2.141683560E-1,-5.348205566E-2,5.925796509E0,7.999145508E0
2.166097620E-1,-5.587768555E-2,5.986862183E0,8.018295288E0
2.190816860E-1,-5.708312988E-2,5.940170288E0,8.017105103E0
2.215536090E-1,-4.989624023E-2,5.942565918E0,7.990768433E0
2.239950160E-1,-8.819580078E-2,5.979675293E0,7.924926758E0
2.264669390E-1,-2.236938477E-2,5.973693848E0,7.887817383E0
2.289083460E-1,-4.031372070E-2,5.998825073E0,7.897384644E0
2.313802700E-1,-1.397705078E-2,6.022766113E0,7.856689453E0
2.338521930E-1,-7.995605469E-3,6.031143188E0,7.790847778E0
2.362936000E-1,-3.672790527E-2,5.985656738E0,7.741760254E0
2.387655230E-1,-5.599975586E-3,6.017974854E0,7.675918579E0
2.412374470E-1,-3.672790527E-2,6.023971558E0,7.598114014E0
2.436788540E-1,-4.391479492E-2,6.096984863E0,7.490371704E0
2.461507770E-1,-1.278686523E-2,6.062271118E0,7.420944214E0
2.486227010E-1,-6.805419922E-3,6.037139893E0,7.351516724E0
2.510641070E-1,-2.474975586E-2,6.051498413E0,7.306015015E0
2.535360310E-1,-2.714538574E-2,6.009597778E0,7.216232300E0
2.560079550E-1,-2.116394043E-2,6.016784668E0,7.162368774E0
2.584493610E-1,-5.468750000E-2,6.043121338E0,7.126449585E0
2.609212850E-1,-6.425476074E-2,6.058685303E0,7.073776245E0
2.633626910E-1,3.814697266E-4,6.069458008E0,6.969635010E0
2.658346150E-1,-1.397705078E-2,6.094589233E0,6.932525635E0
2.683065390E-1,3.814697266E-4,6.047912598E0,6.960052490E0
2.707479450E-1,2.313232422E-2,6.075439453E0,6.914566040E0
2.732198690E-1,7.568359375E-3,6.137695312E0,6.841552734E0
2.756917930E-1,2.790832520E-2,6.089813232E0,6.756546021E0
2.781331990E-1,3.630065918E-2,6.040725708E0,6.773315430E0
2.806051230E-1,5.903625488E-2,6.063476562E0,6.726623535E0
2.830770470E-1,2.671813965E-2,6.077835083E0,6.714645386E0
2.855184530E-1,4.347229004E-2,6.063476562E0,6.682327271E0
2.879903770E-1,6.263732910E-2,6.058685303E0,6.684722900E0
2.904623010E-1,8.297729492E-2,6.047912598E0,6.678741455E0
2.929037070E-1,8.178710938E-2,6.034744263E0,6.640426636E0
2.953756310E-1,9.495544434E-2,6.002410889E0,6.679931641E0
2.978170370E-1,9.735107422E-2,5.980865479E0,6.702682495E0
3.002889610E-1,1.440277100E-1,6.026351929E0,6.729019165E0
3.027608850E-1,1.021423340E-1,5.994033813E0,6.695495605E0
3.052022910E-1,1.188964844E-1,5.976074219E0,6.827178955E0
3.076742150E-1,1.476287842E-1,6.028747559E0,6.848724365E0
3.101461390E-1,1.248779297E-1,5.984466553E0,6.972030640E0
3.125875450E-1,1.236877441E-1,5.983261108E0,7.084564209E0
3.150594690E-1,1.212921143E-1,5.980865479E0,7.098922729E0
3.175313930E-1,5.424499512E-2,5.949737549E0,7.151596069E0
3.199727990E-1,6.024169922E-2,5.956924438E0,7.307220459E0
3.224447230E-1,8.897399902E-2,5.966506958E0,7.399398804E0
3.249166470E-1,1.009368896E-1,5.985656738E0,7.438903809E0
3.273580530E-1,1.308593750E-1,5.949737549E0,7.547836304E0
3.297994590E-1,2.038879395E-1,5.944961548E0,7.719024658E0
3.322713830E-1,2.266387939E-1,5.919815063E0,7.763305664E0
3.347433070E-1,2.637481689E-1,5.941360474E0,7.801620483E0
3.372152310E-1,2.733154297E-1,5.997634888E0,7.872253418E0
3.396566370E-1,2.805023193E-1,5.954528809E0,8.001541138E0
3.421285610E-1,3.152160645E-1,5.912628174E0,8.085327148E0
3.446004840E-1,3.247985840E-1,5.916229248E0,8.084136963E0
3.470724080E-1,3.235931396E-1,5.880310059E0,8.109268188E0
3.495443320E-1,3.403625488E-1,5.853973389E0,8.219406128E0
3.519857380E-1,3.056488037E-1,5.797714233E0,8.151168823E0
3.544271450E-1,3.271942139E-1,5.826446533E0,8.152374268E0
3.568990680E-1,3.643035889E-1,5.810882568E0,8.167938232E0
3.593404750E-1,3.619079590E-1,5.801300049E0,8.102096558E0
3.618123980E-1,3.798675537E-1,5.745040894E0,8.098495483E0
3.642843220E-1,4.181671143E-1,5.730682373E0,8.024276733E0
3.667257290E-1,4.193725586E-1,5.767791748E0,7.971603394E0
3.691976520E-1,4.720458984E-1,5.755813599E0,7.902175903E0
3.716695760E-1,5.151367188E-1,5.778564453E0,7.880630493E0
3.741109820E-1,4.708404541E-1,5.797714233E0,7.826766968E0
3.765829060E-1,4.696502686E-1,5.794128418E0,7.766906738E0
3.790548300E-1,5.366821289E-1,5.795318604E0,7.704650879E0
3.814962360E-1,5.678100586E-1,5.843200684E0,7.726196289E0
3.839681600E-1,5.259094238E-1,5.797714233E0,7.631637573E0
3.864400840E-1,5.450592041E-1,5.821655273E0,7.534667969E0
3.888814900E-1,5.318908691E-1,5.773773193E0,7.543045044E0
3.913534140E-1,5.941467285E-1,5.760604858E0,7.523895264E0
3.937948200E-1,5.606231689E-1,5.782150269E0,7.429321289E0
3.962667440E-1,5.247192383E-1,5.749832153E0,7.368270874E0
3.987386680E-1,5.342864990E-1,5.693557739E0,7.351516724E0
4.012105920E-1,5.546417236E-1,5.728286743E0,7.296447754E0
4.036825160E-1,5.833740234E-1,5.645675659E0,7.292846680E0
4.061544390E-1,5.666046143E-1,5.644485474E0,7.210250854E0
4.085958460E-1,5.546417236E-1,5.691177368E0,7.143218994E0
4.110677700E-1,5.462646484E-1,5.685180664E0,7.136032104E0
4.135396930E-1,5.354919434E-1,5.678009033E0,7.124053955E0
4.159811000E-1,5.175323486E-1,5.709121704E0,7.102508545E0
4.184530230E-1,5.366821289E-1,5.693557739E0,7.114486694E0
